Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width (px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Cluster ID,Screen to Body Ratio
Casio Cassiopeia E-3000,1/1/2003,2003,260,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.186903138,0.352459016,0.073765234,0.030511959,0.028017241,0.17617365,0,3.976378952
Coxion WebBook Mobile Computer,1/1/2003,2003,261,0.062471389,0.000523305,0.102590781,0.381294964,0.284552846,0.222222222,0.596180082,0.352459016,0.1533034,0.043166392,0.068965517,0.358909642,3,2.336114264
CyberBank POZ 0850,1/1/2003,2003,262,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.179263302,0.32704918,0.071199487,0.043252039,0.050646552,0.390711762,0,0.908400702
Medion MDPPC 100 (MD7200),1/1/2003,2003,263,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365,0,4.456604357
MiTAC Mio 728 PDA Phone,1/1/2003,2003,264,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.189631651,0.360655738,0.101988454,0.039612016,0.026939655,0.17617365,0,3.830092929
Samsung NEXiO S160 / NEXiO S165,1/1/2003,2003,265,0.062471389,0.001047635,0.199635034,0.237410072,0.284552846,0.222222222,0.405184175,0.172131148,0.046824888,0.031025844,0.040948276,0.358909642,1,7.03830735
Sony Clie PEG-NZ90 / PEG-NZ90U,1/1/2003,2003,266,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.186903138,0.37704918,0.101988454,0.017022461,0.050215517,0.060575467,0,85.33797146
Symbol PPT 8800,1/1/2003,2003,267,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.205457026,0.397540984,0.168697883,0.073399996,0.053017241,0.17617365,0,3.207082101
Yakumo PDA Delta 200,1/1/2003,2003,268,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365,0,4.456604357
Kyocera 7135,2/1/2003,2003.083333,269,0.00778222,0.000130058,0.016051319,0.057553957,0.024390244,0.063492063,0.150341064,0.212295082,0.087235407,0.016744106,0.027155172,0.114588592,0,3.695177156
Motorola A760,2/1/2003,2003.083333,270,0.00778222,0.000523305,0.099589413,0.057553957,0.056910569,0.142857143,0.126875853,0.209016393,0.095574086,0.019313534,0.012931034,0.295053004,0,3.521563168
Sony Ericsson P800 / P802 (SE Linnea),2/1/2003,2003.083333,271,0.00778222,0.000457764,0.077579376,0.09352518,0.043902439,0.142857143,0.14324693,0.270491803,0.133418858,0.029634071,0.02112069,0.207723372,0,3.751288354
E-TEN InfoTouch P600,3/1/2003,2003.166667,272,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.200545703,0.352459016,0.076330981,0.032182087,0.032327586,0.17617365,0,3.705876979
Nokia 3600,3/1/2003,2003.166667,273,0.003875851,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.137789905,0.331967213,0.127645927,0.008628996,0.015086207,0.469207471,0,0.267829367
Samsung SPH-i330,3/1/2003,2003.166667,274,0.00778222,6.45E-05,0.016051319,0.086330935,0.056910569,0.063492063,0.159618008,0.31147541,0.076330981,0.010877246,0.023706897,0.291771832,0,0.853728911
Samsung SPH-i700,3/1/2003,2003.166667,275,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.173260573,0.340163934,0.066709429,0.0232105,0.021982759,0.17617365,0,4.444521096
Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,3/1/2003,2003.166667,276,0.00778222,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862,0.29656739,0,3.616851499
Sony Clie PEG-TG50 / PEG-TG50U,3/1/2003,2003.166667,277,0.00778222,0.000261141,0.099589413,0.09352518,0.089430894,0.142857143,0.177626194,0.31557377,0.041051956,0.014709976,0.02112069,0.272084806,0,3.07874021
Toshiba e750 / e755,3/1/2003,2003.166667,278,0.031220435,0.001047635,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.307377049,0.057087877,0.022011434,0.030172414,0.152195861,0,5.772364396
Toshiba Genio e350,3/1/2003,2003.166667,279,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.025657473,0.011905017,0.019181034,0.17617365,0,4.251333639
Acer n20,4/1/2003,2003.25,280,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.043617704,0.018714001,0.025862069,0.152195861,0,5.411591625
Acer n20w,4/1/2003,2003.25,281,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.08659397,0.033316918,0.037715517,0.152195861,0,5.411591625
Casio Cassiopeia IT-500 M30,4/1/2003,2003.25,282,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.050510674,0.049568966,0.433619384,0,0.471981381
Casio Cassiopeia IT-500 M30B,4/1/2003,2003.25,283,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365,0,2.859304042
Casio Cassiopeia IT-500 M30CB,4/1/2003,2003.25,284,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365,0,2.859304042
Casio Cassiopeia IT-500 M30CR,4/1/2003,2003.25,285,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.043103448,0.17617365,0,2.859304042
