Country,RAM Capacity (Mb),Storage (Mb),Mass (grams),Pixel Density (per inch)
0,0.031220435,0.000523305,0.028017241,0.17617365
3,0.062471389,0.000523305,0.068965517,0.358909642
0,0.031220435,0.001047635,0.050646552,0.390711762
0,0.031220435,0.000523305,0.0125,0.17617365
0,0.031220435,0.000523305,0.026939655,0.17617365
1,0.062471389,0.001047635,0.040948276,0.358909642
0,0.00778222,0.000261141,0.050215517,0.060575467
0,0.015594958,0.000523305,0.053017241,0.17617365
0,0.031220435,0.000523305,0.0125,0.17617365
0,0.00778222,0.000130058,0.027155172,0.114588592
0,0.00778222,0.000523305,0.012931034,0.295053004
0,0.00778222,0.000457764,0.02112069,0.207723372
0,0.031220435,0.000523305,0.032327586,0.17617365
0,0.003875851,0.000261141,0.015086207,0.469207471
0,0.00778222,6.45E-05,0.023706897,0.291771832
0,0.031220435,0.000523305,0.021982759,0.17617365
0,0.00778222,6.45E-05,0.017025862,0.29656739
0,0.00778222,0.000261141,0.02112069,0.272084806
0,0.031220435,0.001047635,0.030172414,0.152195861
0,0.031220435,0.000523305,0.019181034,0.17617365
0,0.031220435,0.000523305,0.025862069,0.152195861
0,0.031220435,0.000523305,0.037715517,0.152195861
0,0.015594958,0.001047635,0.049568966,0.433619384
0,0.015594958,0.001047635,0.040948276,0.17617365
0,0.015594958,0.001047635,0.040948276,0.17617365
0,0.015594958,0.001047635,0.043103448,0.17617365
0,0.015594958,0.001047635,0.049568966,0.17617365
0,0.00778222,0.000523305,0.014439655,0.210499748
0,0.031220435,0.000261141,0.025431034,0.26476527
0,0.00778222,0.000523305,0.014439655,0.210499748
0,0.031220435,0.001047635,0.023706897,0.17617365
0,0.015594958,0.000523305,0.017887931,0.210499748
3,0.031220435,0.001047635,0.165948276,0.100706714
3,0.031220435,0.000523305,0.103448276,0.17617365
0,0.031220435,0.000523305,0.017456897,0.17617365
0,0.031220435,0.001047635,0.05237069,0.390711762
0,0.031220435,0.000523305,0.032327586,0.17617365
0,0.031220435,0.000523305,0.013793103,0.17617365
0,0.031220435,0.000523305,0.018146552,0.17617365
0,0.019501328,0.001047635,0.0125,0.17617365
0,0.031220435,0.001047635,0.023706897,0.17617365
3,0.031220435,0.000523305,0.091594828,0.165320545
0,0.00778222,0.000523305,0.014439655,0.210499748
0,0.00778222,0.000523305,0.036637931,0.273094397
0,0.015594958,0.000523305,0.037715517,0.273094397
0,0.031220435,0.001047635,0.054956897,0.17617365
0,0.031220435,0.000523305,0.016594828,0.17617365
0,0.031220435,0.000523305,0.02737069,0.152195861
0,0.062471389,0.00078547,0.031681034,0.152195861
0,0.015594958,0.000523305,0.038362069,0.17617365
0,0.015594958,0.000130058,0.020905172,0.058556285
0,0.031220435,0.000523305,0.029956897,0.225391217
0,0.031220435,0.000523305,0.024568966,0.291771832
0,0.031220435,0.001047635,0.031681034,0.17617365
0,0.062471389,0.001047635,0.026939655,0.17617365
0,0.031220435,0.001047635,0.032758621,0.17617365
0,0.031220435,0.000523305,0.009267241,0.416961131
0,0.031220435,0.001047635,0.016034483,0.17617365
0,0.031220435,0.000523305,0.02262931,0.244068652
0,0.015594958,0.000130058,0.023275862,0.10449268
0,0.015594958,0.000130058,0.023275862,0.10449268
0,0.031220435,0.000261141,0.013793103,0.17617365
0,0.031220435,0.000261141,0.013793103,0.17617365
0,0.062471389,0.001047635,0.026939655,0.17617365
0,0.062471389,0.001047635,0.026939655,0.17617365
0,0.00778222,0.000523305,0.036637931,0.273094397
0,0.019501328,0.001047635,0.024784483,0.336193841
0,0.019501328,0.001047635,0.024784483,0.336193841
0,0.031220435,0.001047635,0.017456897,0.17617365
0,0.031220435,0.000523305,0.060344828,0.17617365
0,0.031220435,0.001047635,0.03125,0.17617365
0,0.031220435,0.000523305,0.015517241,0.17617365
0,0.031220435,0.000523305,0.02262931,0.17617365
0,0.00778222,0.000392223,0.014008621,0.208480565
0,0.00778222,0.000261141,0.016163793,0.308430086
3,0.062471389,0.000523305,0.224137931,0.184755174
0,0.031220435,0.000523305,0.026939655,0.17617365
0,0.015594958,0.000523305,0.015086207,0.210499748
0,0.015594958,0.000130058,0.017241379,0.250630994
0,0.031220435,0.00078547,0.016594828,0.17617365
0,0.031220435,0.001047635,0.017456897,0.17617365
0,0.031220435,0.000523305,0.014008621,0.176426047
0,0.031220435,0.000523305,0.02262931,0.17617365
0,0.031220435,0.000523305,0.025,0.17617365
0,0.062471389,0.001047635,0.026939655,0.17617365
0,0.031220435,0.000523305,0.032327586,0.17617365
0,0.031220435,0.001047635,0.029525862,0.17617365
